#{"t_start": 1771417279.5559034, "env_id": "None"}
r,l,t
5147.528602,800,1310.039927
4727.457068,800,1310.66345
5498.411155,800,1311.319271
3940.07882,800,1315.866221
5556.392722,800,1316.53418
5827.371618,800,1321.092763
5488.48934,800,1321.730495
4247.91911,800,1322.377995
5838.536675,800,1326.973017
4805.255603,800,1327.612047
4305.168851,800,1332.415608
5183.327045,800,1333.059744
4964.013805,800,1333.687379
5671.311421,800,1338.23726
5623.536877,800,1338.881873
5831.967066,800,1343.422299
5748.340419,800,1344.077141
2982.993441,800,1344.724332
5280.684556,800,1349.293222
5124.655722,800,1349.937781
5434.297951,800,1354.460507
4399.790312,800,1355.139448
6024.800759,800,1355.777685
5859.140364,800,1360.391515
6191.847135,800,1361.056367
5590.636195,800,1361.742638
-14774.40686,800,1366.508399
4626.479144,800,1367.175383
5404.237428,800,1371.579009
-3552.611695,800,1372.457896
3842.081422,800,1373.233803
-4185.491573,800,1377.787808
2834.350607,800,1378.420557
3424.393799,800,1382.853213
2633.184393,800,1383.522949
6220.756423,800,1384.16736
967.450947,800,1388.744325
3471.049782,800,1389.420791
5736.892027,800,1393.708973
4767.126761,800,1394.339933
4206.488876,800,1394.966748
5247.902093,800,1399.581492
4370.876139,800,1400.219366
5170.6348,800,1400.840092
6185.119774,800,1405.36746
5648.347445,800,1405.989136
-12256.908203,800,1410.665456
4407.513086,800,1411.291877
5757.720985,800,1411.912535
5490.202047,800,1416.768541
5035.649194,800,1417.398638
5410.632821,800,1421.981254
4697.542921,800,1422.609353
5628.611269,800,1423.224733
6073.016016,800,1427.586206
4942.392651,800,1428.210981
2017.434924,800,1432.707943
5138.711659,800,1433.341272
-58151.015907,800,1433.970164
5837.463935,800,1438.725193
4730.507911,800,1439.366482
5130.594851,800,1444.023033
5438.223406,800,1444.667764
6212.591945,800,1445.290718
5293.30316,800,1449.883906
5658.96594,800,1450.513437
5594.479802,800,1451.135566
5939.718908,800,1455.705546
5644.011801,800,1456.37314
6155.13013,800,1461.128419
5303.184684,800,1461.762616
4513.838966,800,1462.394119
5409.05699,800,1467.048515
5356.68286,800,1467.681771
5597.545442,800,1472.271795
5723.934852,800,1472.888405
4944.873289,800,1473.515257
5789.949402,800,1478.218796
5314.941964,800,1478.987126
5601.470757,800,1483.606297
5895.732631,800,1484.248348
6028.971136,800,1484.973491
6260.484614,800,1489.465405
4616.457209,800,1490.163668
4683.512971,800,1494.667913
6330.209611,800,1495.393468
6019.765321,800,1496.066943
4526.401326,800,1500.451761
5279.098825,800,1501.18477
5745.608833,800,1501.887343
6221.122604,800,1507.033869
5288.416771,800,1507.761573
6005.947167,800,1512.945018
5086.183287,800,1513.718489
-10557.089334,800,1514.438643
3758.716597,800,1519.20155
5813.392412,800,1519.822053
6325.635067,800,1524.414715
5463.302325,800,1525.116977
6074.791782,800,1525.827982
5315.011964,800,1530.379374
6035.402952,800,1531.045278
5795.717738,800,1535.674756
6162.109716,800,1536.349732
6021.76853,800,1537.008026
5341.617023,800,1541.541037
5867.196329,800,1542.169092
5758.701782,800,1542.832026
6185.21867,800,1547.400239
-6914.388123,800,1548.038038
5768.358993,800,1552.609597
5695.716975,800,1553.249668
5624.533772,800,1553.883359
3474.422878,800,1558.412134
5274.515668,800,1559.056921
4561.134354,800,1563.602323
6122.925612,800,1564.225921
5766.747674,800,1564.858762
5671.599142,800,1569.424106
-8436.743303,800,1570.069555
-7479.230387,800,1574.392829
5394.116134,800,1575.039173
1677.954532,800,1575.672652
6194.166375,800,1580.338061
5828.377779,800,1581.004767
6319.425616,800,1585.624259
6270.923961,800,1586.319782
5605.610971,800,1586.981706
5545.697182,800,1591.623835
-12499.872574,800,1592.301036
1760.411137,800,1592.967728
5669.587762,800,1597.707335
3677.667386,800,1598.453755
5348.975911,800,1603.162416
-4945.497648,800,1603.780531
5388.75548,800,1604.407468
3556.429555,800,1609.051123
-4541.228471,800,1609.679982
5559.435738,800,1614.220459
5425.523736,800,1614.848649
6124.232491,800,1615.475563
6307.829965,800,1620.211102
-6551.6884,800,1620.839997
5561.101669,800,1625.498135
5654.017815,800,1626.122326
5177.584121,800,1626.748189
6337.559568,800,1631.332398
796.76058,800,1631.96521
6231.474374,800,1636.50001
-18802.81421,800,1637.161115
6092.145557,800,1637.782768
6110.69172,800,1642.466808
-11489.312183,800,1643.104767
6206.315366,800,1643.735951
-391450.602099,800,1648.261657
6171.788818,800,1648.884479
6294.721213,800,1653.679526
6286.647408,800,1654.297937
6138.457413,800,1654.931187
5510.987506,800,1659.475312
6301.330816,800,1660.102134
-13545.673749,800,1664.617365
5316.848334,800,1665.259906
4929.382785,800,1665.897339
-158517.083911,800,1670.498595
6333.589018,800,1671.185629
-17782.126921,800,1675.809013
5342.179668,800,1676.487632
5089.414788,800,1677.170731
-16190.096273,800,1681.760989
-15715.066678,800,1682.429443
6095.852264,800,1683.088472
6166.241155,800,1687.695411
-15381.46883,800,1688.356175
6175.239487,800,1692.679382
5493.719941,800,1693.357775
-8301.087373,800,1694.023147
6330.356142,800,1698.856175
6329.141801,800,1699.514051
-10340.723652,800,1704.165808
-10125.538905,800,1704.835496
-42920.081975,800,1705.50387
6339.037809,800,1710.186229
6313.348175,800,1710.855742
5967.676167,800,1715.445144
-10618.738152,800,1716.114738
-11119.182352,800,1716.784617
-13565.394998,800,1721.353496
5476.700986,800,1722.015991
-11192.764082,800,1726.771307
-12040.987096,800,1727.451462
6323.152342,800,1728.12741
6161.865025,800,1732.798431
-5659.109065,800,1733.44697
5632.093659,800,1734.110403
6081.338502,800,1738.748916
5486.578243,800,1739.415922
-2947.409353,800,1744.002547
3508.734874,800,1744.666066
-21833.965749,800,1745.415553
-6900.005528,800,1749.854577
5557.446534,800,1750.523873
-2577.506346,800,1755.4702
-238784.410028,800,1756.108449
5758.561204,800,1756.8536
5729.727413,800,1761.040875
5700.253917,800,1761.702243
5611.309798,800,1766.285011
5599.053815,800,1766.91013
6309.871502,800,1767.547941
5600.852996,800,1772.175554
5323.734858,800,1772.863132
-1763.224907,800,1777.33667
5773.501134,800,1778.160064
3222.521953,800,1778.88262
5324.588376,800,1783.541857
5507.643252,800,1784.172523
5984.997869,800,1784.81067
6227.777222,800,1789.27654
6061.964743,800,1789.889758
6340.238444,800,1794.431194
6325.554875,800,1795.055461
5405.802797,800,1795.673054
5660.279858,800,1800.290655
6335.219124,800,1800.946279
6342.917903,800,1805.52686
1729.309757,800,1806.146902
5554.288792,800,1806.775018
5638.254337,800,1811.297472
6172.289909,800,1811.913791
5799.494693,800,1816.281548
6285.637303,800,1816.906653
5971.779841,800,1817.541917
5487.008315,800,1822.115157
5361.102683,800,1822.756699
4954.983023,800,1823.392876
4903.202664,800,1827.92371
5176.101002,800,1828.568858
5815.582084,800,1833.082123
6328.910895,800,1833.703212
5493.316603,800,1834.344604
-6162.693363,800,1838.904215
5807.592799,800,1839.544199
4848.120116,800,1844.090842
5524.791274,800,1844.721064
4664.01291,800,1845.339599
6255.275734,800,1849.86439
3095.752111,800,1850.496306
6323.988764,800,1855.12503
149.85895,800,1855.74719
5529.831735,800,1856.37097
3580.467307,800,1860.961959
3811.768445,800,1861.586053
6134.178722,800,1866.187952
5306.617483,800,1866.828545
5618.408397,800,1867.469284
6061.16626,800,1871.848217
4885.763283,800,1872.492286
3337.200036,800,1873.143262
5363.298336,800,1877.828047
5724.100411,800,1878.45962
5586.058533,800,1883.028705
5462.862829,800,1883.653399
5264.139423,800,1884.295146
5095.168815,800,1888.898766
6337.440698,800,1889.523385
6321.728139,800,1894.231838
6326.16971,800,1894.860567
5809.178138,800,1895.499565
3889.435425,800,1900.119841
4083.574388,800,1900.737059
6252.055036,800,1905.356039
5240.05671,800,1906.067276
5425.542975,800,1906.870311
6352.326624,800,1911.265123
5472.849842,800,1912.019767
5923.622556,800,1916.539385
5435.280591,800,1917.217704
5494.98666,800,1917.870602
5879.415449,800,1922.55991
4266.984381,800,1923.227398
-16916.386898,800,1923.889689
5337.827348,800,1928.448504
6090.422651,800,1929.095816
5880.499952,800,1933.522537
5857.27835,800,1934.147047
5662.180287,800,1934.7683
5486.350984,800,1939.305661
5855.591503,800,1939.917273
5845.28783,800,1944.57176
5860.019464,800,1945.193015
5241.284808,800,1945.814615
1458.636903,800,1950.353361
5587.148866,800,1951.073582
6291.075779,800,1955.948933
5640.46435,800,1956.776164
4367.138722,800,1957.497791
5836.267779,800,1962.0054
4336.580937,800,1962.648967
5842.459235,800,1963.29236
